date,payout_ratio
1989-07-25,0.30868736
1989-07-26,0.30828387
1989-07-27,0.3059686
1989-07-28,0.3071408
1989-07-29,0.30691123
1989-07-30,0.30683708
1989-07-31,0.3070586
1989-08-01,0.30644134
1989-08-02,0.30644906
1989-08-03,0.30630675
1989-08-04,0.30587777
1989-08-05,0.30588126
1989-08-06,0.30585772
1989-08-07,0.3058562
1989-08-08,0.30575392
1989-08-09,0.30551684
1989-08-10,0.30718994
1989-08-11,0.32672676
1989-08-12,0.32673573
1989-08-13,0.32673573
1989-08-14,0.3268398
1989-08-15,0.3276787
1989-08-16,0.32770365
1989-08-17,0.328736
1989-08-18,0.32914504
1989-08-19,0.329157
1989-08-20,0.329157
1989-08-21,0.3292027
1989-08-22,0.3289463
1989-08-23,0.3291582
1989-08-24,0.32907462
1989-08-25,0.3290732
1989-08-26,0.3290732
1989-08-27,0.3290732
1989-08-28,0.3292452
1989-08-29,0.32922223
1989-08-30,0.32928392
1989-08-31,0.32960084
1989-09-01,0.3295758
1989-09-02,0.3295771
1989-09-03,0.32958156
1989-09-04,0.32958156
1989-09-05,0.32951438
1989-09-06,0.32942334
1989-09-07,0.32928875
1989-09-08,0.32930234
1989-09-09,0.32930234
1989-09-10,0.32930234
1989-09-11,0.32934535
1989-09-12,0.32933828
1989-09-13,0.32925856
1989-09-14,0.32921198
1989-09-15,0.32923815
1989-09-16,0.32923976
1989-09-17,0.32923976
1989-09-18,0.32968378
1989-09-19,0.32913575
1989-09-20,0.32934183
1989-09-21,0.3294341
1989-09-22,0.32942584
1989-09-23,0.32942584
1989-09-24,0.32942584
1989-09-25,0.32951742
1989-09-26,0.32960594
1989-09-27,0.32919627
1989-09-28,0.32921508
1989-09-29,0.3292082
1989-09-30,0.32925454
1989-10-01,0.32925713
1989-10-02,0.32935542
1989-10-03,0.32947475
1989-10-04,0.32943028
1989-10-05,0.32897997
1989-10-06,0.32923824
1989-10-07,0.32923824
1989-10-08,0.32923824
1989-10-09,0.32926258
1989-10-10,0.3294902
1989-10-11,0.33133602
1989-10-12,0.3315261
1989-10-13,0.33225164
1989-10-14,0.33225164
1989-10-15,0.33225164
1989-10-16,0.33573997
1989-10-17,0.33548662
1989-10-18,0.3368352
1989-10-19,0.33463556
1989-10-20,0.33786345
1989-10-21,0.33786345
1989-10-22,0.3379026
1989-10-23,0.34300455
1989-10-24,0.3433333
1989-10-25,0.34665594
1989-10-26,0.3601879
1989-10-27,0.35989785
1989-10-28,0.3598997
1989-10-29,0.359898
1989-10-30,0.36095303
1989-10-31,0.36117482
1989-11-01,0.3612584
1989-11-02,0.36045563
1989-11-03,0.36081082
1989-11-04,0.36090264
1989-11-05,0.36106056
1989-11-06,0.36096218
1989-11-07,0.35909623
1989-11-08,0.35876283
1989-11-09,0.35827932
1989-11-10,0.3533448
1989-11-11,0.3533478
1989-11-12,0.35334942
1989-11-13,0.35376853
1989-11-14,0.35175726
1989-11-15,0.352463
1989-11-16,0.36404982
1989-11-17,0.3632475
1989-11-18,0.3632476
1989-11-19,0.3632476
1989-11-20,0.36318862
1989-11-21,0.36284444
1989-11-22,0.36258525
1989-11-23,0.36258525
1989-11-24,0.3624514
1989-11-25,0.3624514
1989-11-26,0.3624514
1989-11-27,0.36241302
1989-11-28,0.36244023
1989-11-29,0.3624061
1989-11-30,0.36248428
1989-12-01,0.36248
1989-12-02,0.36248
1989-12-03,0.36248273
1989-12-04,0.36250815
1989-12-05,0.36253655
1989-12-06,0.36269042
1989-12-07,0.36294258
1989-12-08,0.36295307
1989-12-09,0.36295342
1989-12-10,0.36295342
